TF,TG,Score
FOSB,NENF,3846.08
HOXA10,MBNL1,3832.03
AR,RIC3,3823.68
BHLHE40,PCP4,3816.74
AR,NENF,3812.73
AR,ST13,3808.98
JUN,FKBP5,3807.07
MEIS2,PMEL,3806.86
FOSB,IER3,3795.44
JUN,FILIP1L,3792.34
ATF3,IGFN1,3790.26
TCF4,FXYD6,3789.93
TCF12,MFAP4,3789.06
GATA6,TSPAN2,3785.47
FOS,GDF15,3782.53
PGR,ENAH,3768.19
TCF12,ACTG2,3760.15
EGR1,BRK1,3753.75
FOS,HSPB8,3750.38
PGR,HNRNPA1,3746.88
TCF4,ADAM12,3744.67
ATF3,COL5A2,3734.76
AR,TXNL4A,3731.17
JUN,HSPB8,3729.64
ATF3,SLC25A6,3726.44
AR,HSPA2,3719.95
NFIA,MGP,3709.17
EGR1,STMN1,3690.8
FOSB,ZNF428,3687.65
MAF,RRAGD,3685.3
NFIA,FKBP5,3680.21
NFIA,FXYD6,3676.52
EGR1,TGFB1I1,3674.72
EGR1,TRAPPC1,3662.29
FOSB,ACTN1,3642.7
HOXA11,TRIM63,3638.37
FOS,COX7A1,3637.66
AR,PTGER3,3622.1
NFIA,ESR1,3614.43
MAF,COL6A2,3611.4
PGR,TMCC1,3611.31
NFIA,EGR1,3607.93
EGR1,PAFAH1B3,3603.73
HOXA10,TSPAN2,3600.49
FOS,CALD1,3596.88
AR,IGFN1,3590.47
NFIA,KCNMB1,3583.3
JUN,MFAP4,3581.08
ATF3,HSPB8,3579.74
AR,SOD2,3567.47
PGR,CFL2,3562.7
GATA6,DCN,3560.4
PGR,MDK,3559.89
MITF,FKBP5,3559.66
EGR1,MGP,3553.12
GATA6,MAN1A2,3546.93
GATA6,TPM2,3542.47
PRRX1,LUM,3542.32
PGR,LBH,3540.53
TCF4,EGR1,3536.18
ATF3,NENF,3531.43
IRF1,FKBP5,3525.48
MEIS2,CRYAB,3516.08
MITF,MLPH,3501.05
PGR,FBLN1,3500.27
EGR1,MATN2,3499.41
PRRX1,MRGPRF,3497.77
PGR,ZYX,3497.32
JUN,CALD1,3492.84
AR,BRK1,3491.79
PGR,C1S,3488.79
ATF3,PTMS,3486.61
AR,TAGLN,3481.65
TCF4,CRYAB,3477.92
PGR,COL4A2,3472.63
AR,TSPAN2,3460.77
EGR1,PBX1,3457.47
ATF3,RPL5,3456.49
EGR1,PTGER3,3443.65
FOSB,MFAP2,3437.21
AR,TMOD1,3432.07
SOX4,SYNPO2,3430.33
MAF,MFAP4,3428.57
GATA6,NFKBIA,3421.22
PGR,PPP2R1A,3419.79
ATF3,HOXA11,3417.99
AR,SNCAIP,3415.6
MAF,DES,3411.18
JUN,IGFN1,3411.12
GATA6,ARPC2,3396.96
FOS,GLIPR2,3390.7
FOSB,PHYHD1,3389.98
EGR1,RIC3,3387.84
IRF1,LMOD1,3375.51
PGR,MARCKSL1,3371.39
PGR,ST13,3370.69
AR,GEM,3368.62
JUN,RARRES2,3361.04
EGR1,EVA1C,3356.21
FOSB,ARMC9,3355.61
TEAD3,TRIM63,3353.54
PGR,TAGLN,3351.93
PGR,UBE2D2,3349.6
MEIS2,MGP,3347.12
IRF1,EGR1,3341.78
AR,FXYD1,3341.2
AR,MLLT11,3339.76
PGR,GLIPR1,3336.33
PBX1,CRYAB,3332.22
PGR,ANK2,3321.18
NR2F1,OGN,3307.74
PGR,MITF,3306.26
PGR,HINT1,3298.83
FOSB,SESN3,3298
GATA6,RPLP1,3297.47
PGR,NXN,3296
PGR,ARMC9,3295.8
GATA6,PPP1R12B,3293.74
AR,PTMS,3283.28
PBX1,SMOC2,3283.07
AR,NGRN,3277.39
EGR1,CALD1,3277.21
MAF,FKBP5,3272.44
MAF,CHODL,3272.29
PGR,FGFR1,3272.07
AR,ENAH,3269.39
MAFF,TCF21,3265.37
FOSB,ENAH,3261.65
ATF3,SNCAIP,3260.02
NR2F1,CHODL,3258.86
PBX1,PMEL,3258.7
PGR,NENF,3250.61
IRF1,ESR1,3249.79
AR,CNN3,3248.02
TCF4,HOXA10,3237.04
EGR1,FOS,3226.36
IRF1,HHATL,3225.48
AR,SESN3,3218.26
AR,GATA6,3214.79
PGR,PTMS,3210.51
EGR1,RPL6,3210.5
PGR,GTF3C6,3208.94
PGR,TXNL4A,3208.33
TCF4,ESR1,3203.62
HOXA10,SFRP4,3199.43
PGR,MLLT11,3198.27
BHLHE40,ACTG2,3198.04
PGR,STON1,3195.31
GATA6,NDN,3194
GATA6,GLIPR2,3192.96
GATA6,COL6A3,3189.26
AR,TUBA1A,3188.28
EGR1,PRELP,3187.42
MEIS2,ABI3BP,3185.32
HOXA11,SYNPO2,3184.71
TCF4,OGN,3182.43
HOXD11,HOXA10,3171.1
TCF4,SPARCL1,3163.72
EGR1,HNRNPA1,3163.69
PBX1,TPM2,3162.55
MITF,HOXD11,3158.04
MITF,BHMT2,3145.86
AR,PCBP1,3142.89
HOXA10,RRAGD,3141.7
AR,MITF,3138.14
CREM,ABI3BP,3133.28
ATF3,ANGPTL2,3127.94
AR,ANK2,3127.2
GATA6,MFAP2,3126.93
TCF12,LMOD1,3115.39
TCF4,KCNMB1,3109.88
ATF3,MFAP4,3105.92
GATA6,TRAPPC1,3099.63
MEIS2,HOXA10,3096.13
HOXA11,HOXA10,3094.52
MEIS2,FKBP5,3087.89
GATA6,ABCC9,3086.82
TCF4,HHATL,3084.16
GATA6,MBNL1,3083.93
PBX1,FAP,3083.89
TCF4,PCP4,3079.43
EGR1,PCP4,3064.33
AR,NDN,3062.88
PRRX1,ACTG2,3062.56
GATA6,TRIM63,3058.76
FOS,PTMS,3024.35
AR,BCAS4,3022.63
GATA6,SQSTM1,3018.08
PGR,PFN1,3016.65
TEAD3,FBXO32,3013.25
ATF3,PTGER3,3009.07
PGR,COL6A1,3005.63
EGR1,EFEMP2,2999.52
AR,FGFR1,2990.55
PGR,HSPB6,2989.7
CREM,FXYD6,2983.46
NR2F2,OGN,2982.21
PBX1,MFAP4,2979.86
ATF3,PAFAH1B3,2976.36
MEIS2,OGN,2966.91
PGR,SESN3,2966.24
GATA6,CYP1B1,2957.82
PGR,CPE,2955.94
TCF21,BHMT2,2955.64
MEIS2,THBS2,2952
MAF,IGFN1,2950.15
JUN,GLIPR2,2938.94
HOXA10,COL1A2,2936.38
MAF,TRIM63,2935.34
JUN,ZNF428,2934.92
HOXA10,MATN2,2932.27
JUN,MLPH,2927.49
EGR1,COX7B,2923.1
AR,HTRA1,2920.38
FOSB,COL6A1,2919.99
ATF3,LDLR,2919.6
PGR,BRK1,2915.6
NFIA,RAMP1,2913.47
PGR,NDN,2913.28
JUN,GDF15,2913.05
EGR1,ZFP36L2,2904.6
AR,HSPB2,2900.43
